plot,month,year,species,cover,height,phenology
F1P1,May,2019,Acinos arvensis,+,5,v
F1P1,May,2019,Arenaria serpyllifolia,1,5,fr
F1P1,May,2019,Artemisia absinthium,r,2,v
F1P1,May,2019,Buglossoides incrassata,+,12,fr
F1P1,May,2019,Echium vulgare,2a,5,v
F1P1,May,2019,Erodium cicutarium,2a,10,fr
F1P1,May,2019,Festuca valesiaca,1,12,v
F1P1,May,2019,Geranium pusillum,1,5,fr
F1P1,May,2019,Medicago minima,3,10,fl
F1P1,May,2019,Potentilla incana,1,7,fr
F1P1,May,2019,Teucrium chamaedrys,1,8,v
F1P1,May,2019,Trifolium arvense,+,5,v
F1P1,May,2019,Verbascum lychnitis,1,5,v
F1P2,May,2019,Alyssum alyssoides,+,9,fr
F1P2,May,2019,Arenaria serpyllifolia,1,9,fr
F1P2,May,2019,Arrhenatherum elatius,r,10,v
F1P2,May,2019,Artemisia absinthium,2b,30,v
F1P2,May,2019,Buglossoides incrassata,+,8,fl
F1P2,May,2019,Echium vulgare,2a,16,v
F1P2,May,2019,Erodium cicutarium,+,12,fl
F1P2,May,2019,Festuca valesiaca,+,13,v
F1P2,May,2019,Geranium pusillum,1,5,fr
F1P2,May,2019,Medicago minima,2b,13,fr
F1P2,May,2019,Teucrium chamaedrys,2a,9,v
F1P2,May,2019,Trifolium arvense,1,10,v
F1P2,May,2019,Verbascum lychnitis,2b,9,v
F1P2,May,2019,Veronica arvensis,r,12,fr
F1P3,May,2019,Arrhenatherum elatius,+,30,fr
F1P3,May,2019,Buglossoides incrassata,2a,15,fr
F1P3,May,2019,Convolvulus arvensis,r,13,v
F1P3,May,2019,Echium vulgare,2b,30,v
F1P3,May,2019,Elymus hispidus,+,20,v
F1P3,May,2019,Festuca valesiaca,+,12,v
F1P3,May,2019,Geranium pusillum,1,10,fr
F1P3,May,2019,Medicago minima,+,5,v
F1P3,May,2019,Teucrium chamaedrys,2a,10,v
F1P3,May,2019,Trifolium arvense,+,2,v
F1P3,May,2019,Viola tricolor subsp. saxatilis,r,20,fl
F1P4,May,2019,Anthriscus cerefolium,+,17,fr
F1P4,May,2019,Arenaria serpyllifolia,+,7,fr
F1P4,May,2019,Arrhenatherum elatius,+,33,fr
F1P4,May,2019,Carex praecox,1,17,fr
F1P4,May,2019,Carex supina,+,10,fr
F1P4,May,2019,Convolvulus arvensis,+,10,v
F1P4,May,2019,Echium vulgare,3,35,v
F1P4,May,2019,Elymus hispidus,1,31,v
F1P4,May,2019,Geranium pusillum,+,7,fr
F1P4,May,2019,Medicago minima,+,7,fl
F1P4,May,2019,Teucrium chamaedrys,2a,9,v
F1P4,May,2019,Thymus praecox,r,5,v
F1P4,May,2019,Trifolium arvense,+,6,v
F1P4,May,2019,Trifolium campestre,+,10,fl
F1P4,May,2019,Veronica arvensis,r,6,fr
F1P5,May,2019,Anthriscus cerefolium,+,10,fr
F1P5,May,2019,Arenaria serpyllifolia,r,5,fr
F1P5,May,2019,Artemisia campestris,2a,20,v
F1P5,May,2019,Buglossoides incrassata,r,10,fr
F1P5,May,2019,Carex praecox,+,15,v
F1P5,May,2019,Convolvulus arvensis,+,5,v
F1P5,May,2019,Echium vulgare,1,15,v
F1P5,May,2019,Elymus hispidus,1,30,v
F1P5,May,2019,Geranium pusillum,2a,7,fr
F1P5,May,2019,Medicago minima,1,5,fl
F1P5,May,2019,Phleum phleoides,1,30,fl
F1P5,May,2019,Teucrium chamaedrys,2b,10,v
F1P5,May,2019,Trifolium arvense,+,10,v
F1P6,May,2019,Acinos arvensis,1,15,v
F1P6,May,2019,Arenaria serpyllifolia,+,5,fr
F1P6,May,2019,Artemisia absinthium,2a,15,v
F1P6,May,2019,Buglossoides incrassata,1,10,fr
F1P6,May,2019,Convolvulus arvensis,+,5,v
F1P6,May,2019,Echium vulgare,3,20,v
F1P6,May,2019,Geranium pusillum,2a,10,fr
F1P6,May,2019,Medicago minima,1,7,fl
F1P6,May,2019,Poa angustifolia,+,20,fl
F1P6,May,2019,Teucrium chamaedrys,1,5,v
F1P6,May,2019,Trifolium arvense,+,5,v
F2P1,May,2019,Acinos arvensis,+,7,v
F2P1,May,2019,Arabis auriculata,+,10,fr
F2P1,May,2019,Arenaria serpyllifolia,+,6,fr
F2P1,May,2019,Bromus japonicus,1,20,fl
F2P1,May,2019,Buglossoides incrassata,+,6,fr
F2P1,May,2019,Echium vulgare,1,10,v
F2P1,May,2019,Erodium cicutarium,+,4,fr
F2P1,May,2019,Lotus corniculatus,2a,5,fr
F2P1,May,2019,Medicago minima,2b,10,fl
F2P1,May,2019,Melica ciliata,2a,20,v
F2P1,May,2019,Phleum phleoides,+,3,v
F2P1,May,2019,Potentilla incana,2b,4,fr
F2P1,May,2019,Sedum album,1,8,v
F2P1,May,2019,Teucrium chamaedrys,+,8,v
F2P2,May,2019,Acinos arvensis,+,3,v
F2P2,May,2019,Alyssum alyssoides,2a,14,fr
F2P2,May,2019,Arabis auriculata,r,12,fr
F2P2,May,2019,Arenaria serpyllifolia,1,8,fr
F2P2,May,2019,Bromus japonicus,+,16,fl
F2P2,May,2019,Bromus tectorum,+,17,fl
F2P2,May,2019,Echium vulgare,1,8,v
F2P2,May,2019,Erodium cicutarium,+,10,fl
F2P2,May,2019,Medicago minima,2a,13,fl
F2P2,May,2019,Phleum phleoides,2a,27,fl
F2P2,May,2019,Teucrium chamaedrys,2a,10,v
F2P2,May,2019,Verbascum lychnitis,2b,8,v
F2P3,May,2019,Alyssum alyssoides,1,12,fr
F2P3,May,2019,Arenaria serpyllifolia,1,9,fr
F2P3,May,2019,Artemisia absinthium,2a,20,v
F2P3,May,2019,Bromus japonicus,+,20,v
F2P3,May,2019,Bromus tectorum,+,20,v
F2P3,May,2019,Carex praecox,1,15,fr
F2P3,May,2019,Echium vulgare,1,3,v
F2P3,May,2019,Erodium cicutarium,+,10,fl
F2P3,May,2019,Festuca valesiaca,1,25,fl
F2P3,May,2019,Medicago minima,2b,12,fr
F2P3,May,2019,Melica ciliata,1,18,v
F2P3,May,2019,Phleum phleoides,2a,32,fl
F2P3,May,2019,Teucrium chamaedrys,2a,9,v
F2P4,May,2019,Acinos arvensis,+,12,v
F2P4,May,2019,Arenaria serpyllifolia,1,9,fr
F2P4,May,2019,Bromus tectorum,+,25,v
F2P4,May,2019,Carex supina,1,14,fr
F2P4,May,2019,Echium vulgare,2a,10,v
F2P4,May,2019,Erodium cicutarium,+,4,fl
F2P4,May,2019,Geranium pusillum,+,8,fr
F2P4,May,2019,Medicago minima,2a,9,fr
F2P4,May,2019,Teucrium chamaedrys,2b,12,v
F2P4,May,2019,Trifolium arvense,+,16,v
F2P5,May,2019,Arenaria serpyllifolia,+,5,fr
F2P5,May,2019,Echium vulgare,1,10,v
F2P5,May,2019,Erodium cicutarium,+,2,v
F2P5,May,2019,Medicago minima,2a,5,fr
F2P5,May,2019,Melica ciliata,+,20,v
F2P5,May,2019,Microthlaspi perfoliatum,+,8,fr
F2P6,May,2019,Arenaria serpyllifolia,2a,7,fr
F2P6,May,2019,Bromus tectorum,1,20,fl
F2P6,May,2019,Echium vulgare,1,15,v
F2P6,May,2019,Erodium cicutarium,+,13,fl
F2P6,May,2019,Medicago minima,4,10,fr
F2P6,May,2019,Minuartia rubra,1,12,v
F2P6,May,2019,Teucrium chamaedrys,+,3,v
F2P6,May,2019,Verbascum lychnitis,r,1,v
F3P1,May,2019,Acinos arvensis,+,5,v
F3P1,May,2019,Alyssum alyssoides,3,10,fr
F3P1,May,2019,Arenaria serpyllifolia,2a,7,fr
F3P1,May,2019,Arrhenatherum elatius,+,15,v
F3P1,May,2019,Bromus japonicus,r,15,v
F3P1,May,2019,Centaurea stoebe,r,5,v
F3P1,May,2019,Convolvulus arvensis,+,7,v
F3P1,May,2019,Dianthus pontederae,+,10,fl
F3P1,May,2019,Echium vulgare,+,5,v
F3P1,May,2019,Erodium cicutarium,+,10,fr
F3P1,May,2019,Koeleria macrantha,+,7,v
F3P1,May,2019,Medicago minima,2b,10,fl
F3P1,May,2019,Minuartia rubra,+,5,v
F3P1,May,2019,Trifolium arvense,r,6,v
F3P1,May,2019,Verbascum lychnitis,2a,3,v
F3P2,May,2019,Acinos arvensis,+,4,v
F3P2,May,2019,Allium flavum,+,16,v
F3P2,May,2019,Alyssum alyssoides,1,12,fr
F3P2,May,2019,Arenaria serpyllifolia,1,7,fr
F3P2,May,2019,Arrhenatherum elatius,+,15,v
F3P2,May,2019,Bromus japonicus,r,13,v
F3P2,May,2019,Buglossoides incrassata,+,10,fr
F3P2,May,2019,Festuca valesiaca,1,29,fl
F3P2,May,2019,Galium glaucum,+,5,v
F3P2,May,2019,Lappula squarrosa,+,6,v
F3P2,May,2019,Medicago minima,2a,7,fr
F3P2,May,2019,Minuartia rubra,+,8,v
F3P2,May,2019,Poa badensis,r,2,v
F3P2,May,2019,Potentilla incana,3,5,v
F3P2,May,2019,Sedum album,1,5,v
F3P2,May,2019,Verbascum lychnitis,1,3,v
F3P3,May,2019,Acinos arvensis,+,8,v
F3P3,May,2019,Alyssum alyssoides,2b,10,fr
F3P3,May,2019,Arenaria serpyllifolia,+,5,fr
F3P3,May,2019,Artemisia absinthium,r,3,v
F3P3,May,2019,Buglossoides incrassata,1,9,v
F3P3,May,2019,Koeleria macrantha,r,4,v
F3P3,May,2019,Medicago minima,2b,10,fr
F3P3,May,2019,Melica ciliata,+,14,v
F3P3,May,2019,Minuartia rubra,+,5,v
F3P3,May,2019,Sedum album,1,5,v
F3P3,May,2019,Trifolium arvense,+,1,v
F3P3,May,2019,Verbascum lychnitis,1,6,v
F3P3,May,2019,Veronica prostrata,2a,8,fr
F3P4,May,2019,Acinos arvensis,1,8,v
F3P4,May,2019,Alyssum alyssoides,2a,12,fr
F3P4,May,2019,Arenaria serpyllifolia,1,8,fr
F3P4,May,2019,Bromus tectorum,r,12,fr
F3P4,May,2019,Buglossoides incrassata,+,7,fr
F3P4,May,2019,Centaurea stoebe,r,10,v
F3P4,May,2019,Echium vulgare,1,10,v
F3P4,May,2019,Festuca valesiaca,+,8,v
F3P4,May,2019,Galium verum,+,12,v
F3P4,May,2019,Lappula squarrosa,+,7,v
F3P4,May,2019,Medicago minima,2b,11,fr
F3P4,May,2019,Melica ciliata,1,14,v
F3P4,May,2019,Potentilla incana,1,3,v
F3P4,May,2019,Sedum album,1,4,v
F3P4,May,2019,Teucrium chamaedrys,2b,9,v
F3P4,May,2019,Verbascum lychnitis,+,1,v
F3P5,May,2019,Acinos arvensis,+,1,s
F3P5,May,2019,Alyssum alyssoides,3,10,fr
F3P5,May,2019,Bromus japonicus,+,7,v
F3P5,May,2019,Erodium cicutarium,r,1,s
F3P5,May,2019,Festuca valesiaca,+,5,v
F3P5,May,2019,Medicago minima,2a,10,fl
F3P5,May,2019,Melica ciliata,1,15,v
F3P5,May,2019,Poa bulbosa,+,4,fr
F3P5,May,2019,Scabiosa ochroleuca,1,3,v
F3P5,May,2019,Teucrium chamaedrys,r,3,v
F3P6,May,2019,Acinos arvensis,1,5,v
F3P6,May,2019,Allium flavum,r,20,v
F3P6,May,2019,Alyssum alyssoides,3,10,fr
F3P6,May,2019,Arrhenatherum elatius,+,10,v
F3P6,May,2019,Buglossoides incrassata,r,7,fl
F3P6,May,2019,Centaurea stoebe,+,5,v
F3P6,May,2019,Dianthus pontederae,+,10,fl
F3P6,May,2019,Festuca valesiaca,1,12,fl
F3P6,May,2019,Medicago minima,2b,8,fl
F3P6,May,2019,Melica ciliata,r,5,v
F3P6,May,2019,Minuartia rubra,+,7,v
F3P6,May,2019,Sedum album,2a,4,v
F3P6,May,2019,Senecio vulgaris,+,8,fl
F3P6,May,2019,Verbascum lychnitis,+,3,v
F4P1,May,2019,Acinos arvensis,+,9,v
F4P1,May,2019,Alyssum montanum subsp. gmelinii,+,8,fl
F4P1,May,2019,Arenaria serpyllifolia,1,6,fr
F4P1,May,2019,Buglossoides incrassata,+,12,fr
F4P1,May,2019,Echium vulgare,1,9,v
F4P1,May,2019,Erodium cicutarium,+,9,fl
F4P1,May,2019,Koeleria macrantha,1,29,fl
F4P1,May,2019,Medicago minima,2a,7,fr
F4P1,May,2019,Melica ciliata,+,12,v
F4P1,May,2019,Potentilla incana,1,4,v
F4P1,May,2019,Sedum album,2a,3,v
F4P1,May,2019,Seseli osseum,1,9,v
F4P1,May,2019,Teucrium chamaedrys,1,7,v
F4P1,May,2019,Verbascum lychnitis,r,1,v
F4P2,May,2019,Alyssum alyssoides,1,12,fr
F4P2,May,2019,Arenaria serpyllifolia,1,7,fr
F4P2,May,2019,Brassicaceae,+,5,v
F4P2,May,2019,Buglossoides incrassata,+,6,fr
F4P2,May,2019,Centaurea stoebe,+,7,v
F4P2,May,2019,Echium vulgare,+,8,v
F4P2,May,2019,Erodium cicutarium,3,10,fl
F4P2,May,2019,Lappula squarrosa,1,10,v
F4P2,May,2019,Medicago minima,2a,8,fl
F4P2,May,2019,Melica ciliata,1,12,fl
F4P2,May,2019,Minuartia rubra,+,10,v
F4P2,May,2019,Teucrium chamaedrys,2a,7,v
F4P2,May,2019,Verbascum lychnitis,1,2,v
F4P3,May,2019,Acinos arvensis,+,5,v
F4P3,May,2019,Alyssum alyssoides,2a,12,fr
F4P3,May,2019,Arenaria serpyllifolia,+,8,fr
F4P3,May,2019,Convolvulus arvensis,+,5,v
F4P3,May,2019,Dianthus pontederae,+,20,fl
F4P3,May,2019,Echium vulgare,2a,8,v
F4P3,May,2019,Lappula squarrosa,+,20,fl
F4P3,May,2019,Medicago minima,2a,7,fl
F4P3,May,2019,Phleum phleoides,+,25,fl
F4P3,May,2019,Sedum album,+,5,v
F4P3,May,2019,Seseli osseum,+,5,v
F4P3,May,2019,Teucrium chamaedrys,2b,10,v
F4P3,May,2019,Verbascum lychnitis,1,5,v
F4P4,May,2019,Acinos arvensis,r,6,v
F4P4,May,2019,Alyssum alyssoides,2a,12,fr
F4P4,May,2019,Arenaria serpyllifolia,2b,8,fr
F4P4,May,2019,Bromus sp.,+,20,fl
F4P4,May,2019,Dianthus pontederae,+,6,v
F4P4,May,2019,Echium vulgare,+,5,v
F4P4,May,2019,Erodium cicutarium,2a,6,fr
F4P4,May,2019,Medicago minima,2a,10,fl
F4P4,May,2019,Sedum album,r,2,v
F4P4,May,2019,Teucrium chamaedrys,2a,8,v
F4P4,May,2019,Trifolium arvense,+,8,v
F4P4,May,2019,Verbascum lychnitis,r,1,v
F4P5,May,2019,Allium flavum,r,24,v
F4P5,May,2019,Alyssum alyssoides,1,9,fr
F4P5,May,2019,Arenaria serpyllifolia,2a,7,fr
F4P5,May,2019,Buglossoides incrassata,1,21,fr
F4P5,May,2019,Centaurea stoebe,r,8,v
F4P5,May,2019,Echium vulgare,2b,13,v
F4P5,May,2019,Erodium cicutarium,1,9,fl
F4P5,May,2019,Fragaria viridis,r,4,v
F4P5,May,2019,Lappula squarrosa,1,18,v
F4P5,May,2019,Medicago minima,2b,10,fr
F4P5,May,2019,Minuartia rubra,r,12,v
F4P5,May,2019,Potentilla incana,+,9,v
F4P5,May,2019,Teucrium chamaedrys,2b,10,v
F4P5,May,2019,Verbascum lychnitis,1,2,v
F4P5,May,2019,Veronica praecox,+,4,fr
F4P6,May,2019,Acinos arvensis,1,8,v
F4P6,May,2019,Allium flavum,r,17,v
F4P6,May,2019,Alyssum alyssoides,2a,12,fr
F4P6,May,2019,Arenaria serpyllifolia,1,8,fr
F4P6,May,2019,Echium vulgare,1,8,v
F4P6,May,2019,Erodium cicutarium,+,1,s
F4P6,May,2019,Medicago minima,2a,10,fr
F4P6,May,2019,Minuartia rubra,1,10,v
F4P6,May,2019,Phleum phleoides,1,23,fl
F4P6,May,2019,Sedum album,1,6,v
F4P6,May,2019,Teucrium chamaedrys,1,8,v
F4P6,May,2019,Verbascum lychnitis,r,1,v
F5P1,May,2019,Acinos arvensis,2a,9,v
F5P1,May,2019,Alyssum alyssoides,+,8,fr
F5P1,May,2019,Arabis auriculata,r,10,fr
F5P1,May,2019,Arenaria serpyllifolia,+,6,fr
F5P1,May,2019,Dianthus pontederae,+,4,v
F5P1,May,2019,Echium vulgare,1,7,v
F5P1,May,2019,Erodium cicutarium,+,7,fl
F5P1,May,2019,Medicago minima,2a,7,fl
F5P1,May,2019,Minuartia rubra,+,6,v
F5P1,May,2019,Phleum phleoides,1,70,v
F5P1,May,2019,Potentilla incana,+,3,v
F5P1,May,2019,Sedum album,2a,8,v
F5P1,May,2019,Seseli osseum,1,9,v
F5P1,May,2019,Verbascum lychnitis,2a,7,v
F5P1,May,2019,Veronica praecox,r,2,fr
F5P2,May,2019,Acinos arvensis,+,8,v
F5P2,May,2019,Arabis auriculata,+,5,fr
F5P2,May,2019,Camelina microcarpa,1,30,fl
F5P2,May,2019,Echium vulgare,2b,10,v
F5P2,May,2019,Lappula squarrosa,+,35,fl
F5P2,May,2019,Medicago minima,2b,8,fl
F5P2,May,2019,Melica ciliata,1,20,v
F5P2,May,2019,Sedum album,+,3,v
F5P2,May,2019,Teucrium chamaedrys,2a,10,v
F5P3,May,2019,Acinos arvensis,+,8,v
F5P3,May,2019,Alyssum alyssoides,+,10,fr
F5P3,May,2019,Arenaria serpyllifolia,+,5,fr
F5P3,May,2019,Dianthus pontederae,+,10,fl
F5P3,May,2019,Festuca csikhegyensis,+,5,v
F5P3,May,2019,Koeleria macrantha,+,15,fl
F5P3,May,2019,Medicago minima,1,8,fl
F5P3,May,2019,Minuartia rubra,+,15,v
F5P3,May,2019,Phleum phleoides,+,5,v
F5P3,May,2019,Potentilla incana,2b,4,fr
F5P3,May,2019,Sedum album,1,5,v
F5P3,May,2019,Seseli osseum,1,7,v
F5P3,May,2019,Teucrium chamaedrys,2b,10,v
F5P3,May,2019,Verbascum lychnitis,+,1,v
F5P4,May,2019,Acinos arvensis,+,7,v
F5P4,May,2019,Alyssum alyssoides,2a,7,fl
F5P4,May,2019,Arenaria serpyllifolia,1,7,fr
F5P4,May,2019,Camelina microcarpa,1,60,fl
F5P4,May,2019,Erodium cicutarium,1,10,fr
F5P4,May,2019,Festuca valesiaca,+,10,v
F5P4,May,2019,Medicago minima,2a,7,fl
F5P4,May,2019,Potentilla incana,2a,4,fr
F5P4,May,2019,Sedum album,2a,5,v
F5P4,May,2019,Seseli osseum,1,12,v
F5P4,May,2019,Taraxacum sect. Erythrosperma,r,1,v
F5P4,May,2019,Teucrium chamaedrys,r,5,v
F5P4,May,2019,Verbascum lychnitis,+,1,v
F5P4,May,2019,Veronica praecox,r,5,fl
F5P5,May,2019,Acinos arvensis,r,3,v
F5P5,May,2019,Alyssum alyssoides,+,10,fr
F5P5,May,2019,Camelina microcarpa,+,44,fr
F5P5,May,2019,Echium vulgare,3,44,v
F5P5,May,2019,Erysimum odoratum,1,40,fl
F5P5,May,2019,Medicago minima,2a,12,fr
F5P5,May,2019,Minuartia rubra,+,7,v
F5P5,May,2019,Potentilla incana,1,3,v
F5P5,May,2019,Sedum album,r,2,v
F5P5,May,2019,Seseli osseum,1,25,v
F5P5,May,2019,Verbascum lychnitis,2b,7,v
F5P5,May,2019,Veronica praecox,+,8,fr
F5P6,May,2019,Acinos arvensis,2a,13,v
F5P6,May,2019,Alyssum alyssoides,2a,10,fr
F5P6,May,2019,Arenaria serpyllifolia,1,7,fr
F5P6,May,2019,Camelina microcarpa,1,50,fr
F5P6,May,2019,Medicago minima,2a,9,fr
F5P6,May,2019,Melica ciliata,1,15,v
F5P6,May,2019,Minuartia rubra,1,9,v
F5P6,May,2019,Potentilla incana,1,4,v
F5P6,May,2019,Sedum album,+,2,v
F5P6,May,2019,Tragopogon dubius,1,15,v
F5P6,May,2019,Verbascum lychnitis,2b,9,v
F5P6,May,2019,Veronica praecox,+,2,fr
F6P1,May,2019,Acinos arvensis,+,4,v
F6P1,May,2019,Allium flavum,+,6,v
F6P1,May,2019,Arenaria serpyllifolia,+,6,fr
F6P1,May,2019,Bromus japonicus,r,12,fr
F6P1,May,2019,Buglossoides incrassata,+,10,fr
F6P1,May,2019,Echium vulgare,1,6,v
F6P1,May,2019,Erodium cicutarium,2a,7,fr
F6P1,May,2019,Iris pumila,2a,10,v
F6P1,May,2019,Lepidium campestre,2a,6,fr
F6P1,May,2019,Medicago minima,1,6,fl
F6P1,May,2019,Sedum album,3,4,v
F6P1,May,2019,Teucrium chamaedrys,1,5,v
F6P1,May,2019,Trifolium arvense,1,5,v
F6P1,May,2019,Verbascum lychnitis,r,1,s
F6P2,May,2019,Acinos arvensis,r,4,v
F6P2,May,2019,Arenaria serpyllifolia,2b,1,fr
F6P2,May,2019,Centaurea stoebe,r,4,v
F6P2,May,2019,Echium vulgare,1,5,v
F6P2,May,2019,Erodium cicutarium,1,5,fl
F6P2,May,2019,Geranium pusillum,+,4,fr
F6P2,May,2019,Lappula squarrosa,+,7,v
F6P2,May,2019,Lepidium campestre,1,8,fl
F6P2,May,2019,Medicago minima,3,8,fl
F6P2,May,2019,Myosotis arvensis,r,8,fr
F6P2,May,2019,Sedum album,+,5,v
F6P2,May,2019,Trifolium arvense,+,7,v
F6P3,May,2019,Acinos arvensis,+,4,v
F6P3,May,2019,Alyssum alyssoides,+,5,fl
F6P3,May,2019,Arenaria serpyllifolia,2a,5,fr
F6P3,May,2019,Buglossoides incrassata,+,10,fr
F6P3,May,2019,Echium vulgare,2b,10,v
F6P3,May,2019,Erodium cicutarium,+,7,fl
F6P3,May,2019,Festuca valesiaca,+,5,v
F6P3,May,2019,Geranium pusillum,r,5,fl
F6P3,May,2019,Lepidium campestre,2a,12,fl
