species,individual,leaf,fresh_weight(mg),dry_weight(mg),comments
Veronica sublobata,1,1,"36,9","4,7",
Veronica sublobata,1,2,"20,6","2,5",
Veronica sublobata,1,3,"45,1","5,6",
Veronica sublobata,1,4,"17,2","2,4",
Veronica sublobata,2,1,"57,8","5,8",
Veronica sublobata,2,2,"50,6","5,6",
Veronica sublobata,2,3,"60,8","5,5",
Veronica sublobata,2,4,"53,3","5,1",
Veronica sublobata,3,1,"19,9","2,2",
Veronica sublobata,3,2,"29,5","3,2",
Veronica sublobata,3,3,"32,9","3,8",
Veronica sublobata,3,4,"17,8","2,2",
Veronica sublobata,4,1,"54,6",6,
Veronica sublobata,4,2,"27,7","3,2",
Veronica sublobata,4,3,"53,5","5,8",
Veronica sublobata,4,4,"21,6","2,7",
Veronica sublobata,5,1,"12,9","1,8",
Veronica sublobata,5,2,13,"1,8",
Veronica sublobata,5,3,"10,3","1,4",
Veronica sublobata,5,4,"10,4","1,6",
Veronica sublobata,6,1,"80,5","7,6",
Veronica sublobata,6,2,"85,1","7,7",
Veronica sublobata,6,3,"54,9","5,4",
Veronica sublobata,6,4,"74,8",7,
Veronica sublobata,7,1,"27,5","3,2",
Veronica sublobata,7,2,"27,6","3,7",
Veronica sublobata,7,3,"32,5","4,8",
Veronica sublobata,7,4,"25,7","3,7",
Veronica sublobata,8,1,"16,2","2,1",
Veronica sublobata,8,2,"11,9","1,8",
Veronica sublobata,8,3,"16,3","2,4",
Veronica sublobata,8,4,"13,4","1,9",
Veronica sublobata,9,1,"69,4","5,9",
Veronica sublobata,9,2,"50,8","7,5",
Veronica sublobata,9,3,72,"6,8",
Veronica sublobata,9,4,"24,8","3,1",
Veronica sublobata,10,1,"26,9","3,5",
Veronica sublobata,10,2,"26,4","3,3",
Veronica sublobata,10,3,"23,3","3,2",
Veronica sublobata,10,4,"16,8","2,4",
Gagea pusilla,1,1,"66,2","11,3",
Gagea pusilla,1,2,87,"15,1",
Gagea pusilla,1,3,"49,9","9,2",
Gagea pusilla,1,4,"53,3","9,1",
Gagea pusilla,2,1,"52,6","9,8",
Gagea pusilla,2,2,"39,7","7,6",
Gagea pusilla,2,3,"22,1","4,9",
Gagea pusilla,2,4,,,
Gagea pusilla,3,1,"39,5","8,1",
Gagea pusilla,3,2,"29,3","4,9",
Gagea pusilla,3,3,31,"5,9",
Gagea pusilla,3,4,"30,2","5,7",
Gagea pusilla,4,1,25,5,
Gagea pusilla,4,2,"23,8","4,6",
Gagea pusilla,4,3,"22,8","4,6",
Gagea pusilla,4,4,"23,5","4,6",
Gagea pusilla,5,1,"85,5","15,9",
Gagea pusilla,5,2,57,11,
Gagea pusilla,5,3,"56,8","11,2",
Gagea pusilla,5,4,"80,4","15,2",
Gagea pusilla,6,1,"34,8","7,3",
Gagea pusilla,6,2,"30,8",6,
Gagea pusilla,6,3,"22,3","4,2",
Gagea pusilla,6,4,,,
Gagea pusilla,7,1,"41,8",9,
Gagea pusilla,7,2,"28,9","6,1",
Gagea pusilla,7,3,"24,8",6,
Gagea pusilla,7,4,,,
Gagea pusilla,8,1,"33,9",7,
Gagea pusilla,8,2,"33,7","6,6",
Gagea pusilla,8,3,"27,3","5,1",
Gagea pusilla,8,4,"30,4","5,7",
Gagea pusilla,9,1,"43,7","8,2",
Gagea pusilla,9,2,"44,2","8,2",
Gagea pusilla,9,3,"28,9","5,9",
Gagea pusilla,9,4,"37,5","7,5",
Gagea pusilla,10,1,"31,4","7,6",
Gagea pusilla,10,2,"32,6","8,3",
Gagea pusilla,10,3,"25,6",6,
Gagea pusilla,10,4,"31,6","7,8",
Noccaea perfoliata,1,1,"27,9","6,4",
Noccaea perfoliata,1,2,"30,8","6,8",
Noccaea perfoliata,1,3,"33,7","7,4",
Noccaea perfoliata,1,4,"6,5","1,6",
Noccaea perfoliata,2,1,"17,2",4,
Noccaea perfoliata,2,2,"18,9","4,1",
Noccaea perfoliata,2,3,"10,8","2,7",
Noccaea perfoliata,2,4,,,
Noccaea perfoliata,3,1,"8,2","1,8",
Noccaea perfoliata,3,2,"14,5","3,4",
Noccaea perfoliata,3,3,"17,1","3,7",
Noccaea perfoliata,3,4,,,
Noccaea perfoliata,4,1,"31,8","6,7",
Noccaea perfoliata,4,2,"25,2","6,1",
Noccaea perfoliata,4,3,12,3,
Noccaea perfoliata,4,4,"15,3","3,6",
Noccaea perfoliata,5,1,"12,4","3,2",
Noccaea perfoliata,5,2,"11,7",3,
Noccaea perfoliata,5,3,"7,9","1,9",
Noccaea perfoliata,5,4,"15,9","3,85",
Noccaea perfoliata,6,1,"21,8","4,8",
Noccaea perfoliata,6,2,"20,1","4,6",
Noccaea perfoliata,6,3,"9,1","2,3",
Noccaea perfoliata,6,4,"10,7","2,6",
Noccaea perfoliata,7,1,"16,2","3,95",
Noccaea perfoliata,7,2,"10,5","2,6",
Noccaea perfoliata,7,3,"7,4","1,8",
Noccaea perfoliata,7,4,"7,7","2,1",
Noccaea perfoliata,8,1,"40,1","9,1",
Noccaea perfoliata,8,2,10,"2,4",
Noccaea perfoliata,8,3,33,"7,1",
Noccaea perfoliata,8,4,"9,7","2,2",
Noccaea perfoliata,9,1,"25,3",6,
Noccaea perfoliata,9,2,"25,2","5,9",
Noccaea perfoliata,9,3,16,"3,3",
Noccaea perfoliata,9,4,"18,4","4,4",
Noccaea perfoliata,10,1,7,"1,9",
Noccaea perfoliata,10,2,"22,5","5,5",
Noccaea perfoliata,10,3,"7,7","1,8",
Noccaea perfoliata,10,4,"11,3","2,2",
Veronica postrata,1,1,"16,8","4,7",
Veronica postrata,1,2,10,"3,1",
Veronica postrata,1,3,"10,8","4,4",
Veronica postrata,1,4,"15,1","2,5",
Veronica postrata,2,1,"12,2","2,9",
Veronica postrata,2,2,"14,6","4,3",
Veronica postrata,2,3,"12,2","2,9",
Veronica postrata,2,4,8,"2,1",
Veronica postrata,3,1,"30,9","9,7",
Veronica postrata,3,2,"27,3","8,2",
Veronica postrata,3,3,"27,6","7,9",
Veronica postrata,3,4,"25,7","7,4",
Veronica postrata,4,1,"37,8",11,
Veronica postrata,4,2,"38,9","11,8",
Veronica postrata,4,3,"45,7","14,2",
Veronica postrata,4,4,"24,2","7,9",
Veronica postrata,5,1,"24,1","7,2",
Veronica postrata,5,2,"24,5","6,7",
Veronica postrata,5,3,"17,3","5,2",
Veronica postrata,5,4,"17,2","4,9",
Veronica postrata,6,1,"12,1",4,
Veronica postrata,6,2,"11,9","3,8",
Veronica postrata,6,3,"7,8","2,3",
Veronica postrata,6,4,14,"4,6",
Veronica postrata,7,1,"18,2",6,
Veronica postrata,7,2,"18,9","6,2",
Veronica postrata,7,3,"22,2","6,3",
Veronica postrata,7,4,"19,7","7,2",
Veronica postrata,8,1,"24,5","7,3",
Veronica postrata,8,2,"24,4","7,5",
Veronica postrata,8,3,"22,5","6,6",
Veronica postrata,8,4,"10,9","3,6",
Veronica postrata,9,1,"12,2","3,3",
Veronica postrata,9,2,"13,4","3,6",
Veronica postrata,9,3,"7,7","1,9",
Veronica postrata,9,4,"8,4","2,3",
Veronica postrata,10,1,"32,9","11,1",
Veronica postrata,10,2,"26,5","8,8",
Veronica postrata,10,3,"18,6","6,4",
Veronica postrata,10,4,"13,6","4,6",
Euphorbia cyparissias,1,1,"6,9","1,7",
Euphorbia cyparissias,1,2,"5,7","1,4",
Euphorbia cyparissias,1,3,"6,7","1,8",
Euphorbia cyparissias,1,4,"5,6","1,45",
Euphorbia cyparissias,2,1,"5,4","1,6",
Euphorbia cyparissias,2,2,"4,1","1,2",
Euphorbia cyparissias,2,3,"4,7","1,4",
Euphorbia cyparissias,2,4,"4,8","1,6",
Euphorbia cyparissias,3,1,"4,4","1,25",
Euphorbia cyparissias,3,2,"3,7",1,
Euphorbia cyparissias,3,3,"3,8","1,2",
Euphorbia cyparissias,3,4,"3,6","1,1",
Euphorbia cyparissias,4,1,"6,1","1,6",
Euphorbia cyparissias,4,2,"7,3","1,8",
Euphorbia cyparissias,4,3,"8,2",2,
Euphorbia cyparissias,4,4,8,2,
Euphorbia cyparissias,5,1,"4,3","1,2",
Euphorbia cyparissias,5,2,"3,9",1,
Euphorbia cyparissias,5,3,"3,4","0,9",
Euphorbia cyparissias,5,4,4,"1,1",
Euphorbia cyparissias,6,1,"4,1",1,
Euphorbia cyparissias,6,2,"4,2","1,1",
Euphorbia cyparissias,6,3,"2,9","0,8",
Euphorbia cyparissias,6,4,"4,4","1,3",
Euphorbia cyparissias,7,1,"9,4","2,4",
Euphorbia cyparissias,7,2,"10,5","2,45",
Euphorbia cyparissias,7,3,"8,9","2,7",
Euphorbia cyparissias,7,4,"9,1","2,5",
Euphorbia cyparissias,8,1,"3,5","0,9",
Euphorbia cyparissias,8,2,"4,1","1,2",
Euphorbia cyparissias,8,3,"8,9","2,4",
Euphorbia cyparissias,8,4,"8,5","2,4",
Euphorbia cyparissias,9,1,"5,2","1,2",
Euphorbia cyparissias,9,2,"4,2","1,1",
Euphorbia cyparissias,9,3,"3,8",1,
Euphorbia cyparissias,9,4,"6,7","1,8",
Euphorbia cyparissias,10,1,"4,8","1,2",
Euphorbia cyparissias,10,2,"5,6","1,5",
Euphorbia cyparissias,10,3,"5,6","1,5",
Euphorbia cyparissias,10,4,5,"1,3",
Cerastium pumilum,1,1,"3,8",,
Cerastium pumilum,1,2,"5,3",,
Cerastium pumilum,1,3,"5,1",,
Cerastium pumilum,1,4,6,,
Cerastium pumilum,2,1,"16,9",,
Cerastium pumilum,2,2,"6,7",,
Cerastium pumilum,2,3,"4,6",,
Cerastium pumilum,2,4,"4,3",,
Cerastium pumilum,3,1,"3,3",,
Cerastium pumilum,3,2,"3,8",,
Cerastium pumilum,3,3,"3,9",,
Cerastium pumilum,3,4,"2,7",,
Cerastium pumilum,4,1,"2,6",,
Cerastium pumilum,4,2,"2,9",,
Cerastium pumilum,4,3,"2,4",,
Cerastium pumilum,4,4,"2,6",,
Cerastium pumilum,5,1,"12,2",,
Cerastium pumilum,5,2,"13,2",,
Cerastium pumilum,5,3,"10,8",,
Cerastium pumilum,5,4,"9,5",,
Cerastium pumilum,6,1,"11,2",,
Cerastium pumilum,6,2,"8,4",,
Cerastium pumilum,6,3,"6,8",,
Cerastium pumilum,6,4,"9,6",,
Cerastium pumilum,7,1,"26,2",,
Cerastium pumilum,7,2,"11,1",,
Cerastium pumilum,7,3,"6,5",,
Cerastium pumilum,7,4,"18,5",,
Cerastium pumilum,8,1,"5,2",,
Cerastium pumilum,8,2,"2,7",,
Cerastium pumilum,8,3,"5,2",,
Cerastium pumilum,8,4,"2,8",,
Cerastium pumilum,9,1,"9,4",,
Cerastium pumilum,9,2,"8,9",,
Cerastium pumilum,9,3,"5,2",,
Cerastium pumilum,9,4,"4,8",,
Cerastium pumilum,10,1,"3,5",,
Cerastium pumilum,10,2,"4,7",,
Cerastium pumilum,10,3,"3,3",,
Cerastium pumilum,10,4,"6,6",,
Veronica praecox,1,1,"6,3","1,5",
Veronica praecox,1,2,"6,1","1,5",
Veronica praecox,1,3,"4,1","0,7",
Veronica praecox,1,4,"4,1","0,8",
Veronica praecox,2,1,"9,2","2,1",
Veronica praecox,2,2,"8,3","1,9",
Veronica praecox,2,3,"9,2","1,9",
Veronica praecox,2,4,"6,5","1,35",
Veronica praecox,3,1,"4,8","1,1",
Veronica praecox,3,2,"4,4","1,1",
Veronica praecox,3,3,"1,6","0,45",
Veronica praecox,3,4,,,
Veronica praecox,4,1,"4,4","1,2",
Veronica praecox,4,2,"4,6","1,1",
Veronica praecox,4,3,"2,2","0,45",
Veronica praecox,4,4,"1,5","0,3",
Veronica praecox,5,1,4,1,
Veronica praecox,5,2,"1,2","0,35",
Veronica praecox,5,3,"2,2","0,5",
Veronica praecox,5,4,,,
Veronica praecox,6,1,"5,1","1,1",
Veronica praecox,6,2,"5,1","1,15",
Veronica praecox,6,3,"4,8","1,1",
Veronica praecox,6,4,"3,9","0,85",
Veronica praecox,7,1,"1,8","0,5",
Veronica praecox,7,2,"2,2","0,6",
Veronica praecox,7,3,"2,2","0,35",
Veronica praecox,7,4,,,
Veronica praecox,8,1,"3,4","0,9",
Veronica praecox,8,2,"3,5","0,8",
Veronica praecox,8,3,"3,2","0,9",
Veronica praecox,8,4,"3,9","0,8",
Veronica praecox,9,1,"3,3","0,8",
Veronica praecox,9,2,3,"0,6",
Veronica praecox,9,3,"3,9",1,
Veronica praecox,9,4,"2,9","0,6",
Veronica praecox,10,1,,,
Veronica praecox,10,2,,,
Veronica praecox,10,3,,,
Veronica praecox,10,4,,,
Carex supina,1,1,"4,8",,
Carex supina,1,2,"4,5",,
Carex supina,1,3,"7,9",,
Carex supina,1,4,"4,6",,
Carex supina,2,1,"6,8",,
Carex supina,2,2,"6,1",,
Carex supina,2,3,"5,1",,
Carex supina,2,4,"8,3",,
Carex supina,3,1,"13,7",,
Carex supina,3,2,"9,1",,
Carex supina,3,3,"5,3",,
Carex supina,3,4,"10,3",,
Carex supina,4,1,"5,1",,
Carex supina,4,2,"6,8",,
Carex supina,4,3,"8,6",,
Carex supina,4,4,"5,8",,
Carex supina,5,1,"8,5",,
Carex supina,5,2,"5,4",,
Carex supina,5,3,"10,7",,
Carex supina,5,4,"6,8",,
Carex supina,6,1,"7,2",,
Carex supina,6,2,"9,8",,
Carex supina,6,3,"6,1",,
Carex supina,6,4,"6,9",,
Carex supina,7,1,"8,4",,
Carex supina,7,2,"8,9",,
Carex supina,7,3,"10,5",,
Carex supina,7,4,"6,9",,
Carex supina,8,1,"8,7",,
Carex supina,8,2,"6,3",,
Carex supina,8,3,"2,9",,
Carex supina,8,4,"3,8",,
Carex supina,9,1,"8,6",,
Carex supina,9,2,"7,4",,
Carex supina,9,3,"6,1",,
Carex supina,9,4,"8,7",,
Carex supina,10,1,"5,3",,
Carex supina,10,2,"6,6",,
Carex supina,10,3,"11,1",,
Carex supina,10,4,"8,1",,
Medicago minima,1,1,"23,2","7,2",
Medicago minima,1,2,16,"5,2",
Medicago minima,1,3,"16,6","5,2",
Medicago minima,1,4,"17,2","5,1",
Medicago minima,2,1,"11,5","3,9",
Medicago minima,2,2,"8,3","2,9",
Medicago minima,2,3,10,"3,5",
Medicago minima,2,4,"12,1","4,3",
Medicago minima,3,1,"8,3","2,5",
Medicago minima,3,2,"6,5","1,9",
Medicago minima,3,3,"9,5","3,1",
Medicago minima,3,4,"6,6","2,4",
Medicago minima,4,1,"15,1","4,8",
Medicago minima,4,2,"11,6","3,6",
Medicago minima,4,3,"11,7","3,6",
Medicago minima,4,4,"14,5","4,7",
Medicago minima,5,1,"8,9","3,3",
Medicago minima,5,2,"8,6",3,
Medicago minima,5,3,"8,3","2,9",
Medicago minima,5,4,"7,9","2,65",
Medicago minima,6,1,"8,1","2,7",
Medicago minima,6,2,"6,6","2,2",
Medicago minima,6,3,"6,7","2,1",
Medicago minima,6,4,"5,9","1,9",
Medicago minima,7,1,"8,9","2,8",
Medicago minima,7,2,"9,2","2,8",
Medicago minima,7,3,"8,2","2,5",
Medicago minima,7,4,"5,2","1,6",
Medicago minima,8,1,"18,4","6,5",
Medicago minima,8,2,"15,9","5,8",
Medicago minima,8,3,"16,5","5,5",
Medicago minima,8,4,"18,8","6,2",
Medicago minima,9,1,"7,5","2,5",
Medicago minima,9,2,8,"2,7",
Medicago minima,9,3,7,"2,35",
Medicago minima,9,4,"10,1","3,7",
Medicago minima,10,1,"11,3","3,7",
Medicago minima,10,2,"7,7","2,5",
Medicago minima,10,3,"8,2","2,7",
Medicago minima,10,4,"8,8","2,9",
Buglossoides incrassata,1,1,"11,8",3,
Buglossoides incrassata,1,2,"11,6","3,1",
Buglossoides incrassata,1,3,"10,2","2,7",
Buglossoides incrassata,1,4,"10,7","2,8",
Buglossoides incrassata,2,1,"17,7","4,4",
Buglossoides incrassata,2,2,"17,1","4,5",
Buglossoides incrassata,2,3,"18,1","5,1",
Buglossoides incrassata,2,4,"12,4",3,
Buglossoides incrassata,3,1,"29,6","7,2",
Buglossoides incrassata,3,2,"28,9","7,1",
Buglossoides incrassata,3,3,"27,6","6,1",
Buglossoides incrassata,3,4,"28,6","7,1",
Buglossoides incrassata,4,1,"23,9","5,6",
Buglossoides incrassata,4,2,"21,6","4,95",
Buglossoides incrassata,4,3,"8,5","2,2",
Buglossoides incrassata,4,4,"28,1",6,
Buglossoides incrassata,5,1,"41,2","8,4",
Buglossoides incrassata,5,2,16,"3,5",
Buglossoides incrassata,5,3,"15,1","3,4",
Buglossoides incrassata,5,4,"37,5","7,9",
Buglossoides incrassata,6,1,"27,9","5,8",
Buglossoides incrassata,6,2,"24,8",6,
Buglossoides incrassata,6,3,"9,3",2,
Buglossoides incrassata,6,4,"23,7",5,
Buglossoides incrassata,7,1,"18,7","4,6",
Buglossoides incrassata,7,2,"20,3","5,1",
Buglossoides incrassata,7,3,"17,2","3,1",
Buglossoides incrassata,7,4,"12,5","2,2",
Buglossoides incrassata,8,1,"34,3","6,8",
Buglossoides incrassata,8,2,"29,3","5,1",
Buglossoides incrassata,8,3,"16,3","3,2",
Buglossoides incrassata,8,4,"32,1","6,6",
Buglossoides incrassata,9,1,"23,3","4,9",
Buglossoides incrassata,9,2,"27,3","6,2",
Buglossoides incrassata,9,3,"19,7","3,8",
Buglossoides incrassata,9,4,"24,1","5,2",
Buglossoides incrassata,10,1,"41,2","8,1",
Buglossoides incrassata,10,2,"18,7",4,
Buglossoides incrassata,10,3,"28,8","5,9",
Buglossoides incrassata,10,4,"13,2","2,7",
Iris pumila,1,1,"700,9",,
Iris pumila,1,2,"616,4",,
Iris pumila,1,3,"154,7",,
Iris pumila,1,4,,,
Iris pumila,2,1,"215,1",,
Iris pumila,2,2,"350,2",,
Iris pumila,2,3,"281,5",,
Iris pumila,2,4,,,
Iris pumila,3,1,"184,7",,
Iris pumila,3,2,"1077,1",,
Iris pumila,3,3,"626,4",,
Iris pumila,3,4,"342,9",,
Iris pumila,4,1,"182,1",,
Iris pumila,4,2,"300,8",,
Iris pumila,4,3,"296,4",,
Iris pumila,4,4,"385,1",,
Iris pumila,5,1,"163,4",,
Iris pumila,5,2,"173,7",,
Iris pumila,5,3,"369,5",,
Iris pumila,5,4,"285,5",,
Iris pumila,6,1,"78,7",,
Iris pumila,6,2,"212,1",,
Iris pumila,6,3,"175,9",,
Iris pumila,6,4,"179,3",,
Iris pumila,7,1,"121,3",,
Iris pumila,7,2,"189,1",,
Iris pumila,7,3,"140,3",,
Iris pumila,7,4,"208,9",,
Iris pumila,8,1,"286,9",,
Iris pumila,8,2,"497,2",,
Iris pumila,8,3,"487,3",,
Iris pumila,8,4,"121,3",,
Iris pumila,9,1,"82,7",,
Iris pumila,9,2,"273,6",,
Iris pumila,9,3,"221,4",,
Iris pumila,9,4,"53,1",,
Iris pumila,10,1,"207,1",,
Iris pumila,10,2,"320,8",,
Iris pumila,10,3,"378,5",,
Iris pumila,10,4,"400,7",,
Scorzonera austriaca,1,1,"377,8",,
Scorzonera austriaca,1,2,"430,6",,
Scorzonera austriaca,1,3,"139,7",,
Scorzonera austriaca,1,4,"321,3",,
Scorzonera austriaca,2,1,"107,7",,
Scorzonera austriaca,2,2,"149,1",,
Scorzonera austriaca,2,3,"120,7",,
Scorzonera austriaca,2,4,"139,7",,
Scorzonera austriaca,3,1,"349,9",,
Scorzonera austriaca,3,2,"115,7",,
Scorzonera austriaca,3,3,"332,3",,
Scorzonera austriaca,3,4,"178,5",,
Scorzonera austriaca,4,1,"70,2",,
Scorzonera austriaca,4,2,"69,9",,
Scorzonera austriaca,4,3,"112,5",,
Scorzonera austriaca,4,4,"116,2",,
Scorzonera austriaca,5,1,"100,7",,
Scorzonera austriaca,5,2,"127,3",,
Scorzonera austriaca,5,3,"131,5",,
Scorzonera austriaca,5,4,"137,2",,
Scorzonera austriaca,6,1,"90,9",,
Scorzonera austriaca,6,2,"74,1",,
Scorzonera austriaca,6,3,"84,4",,
Scorzonera austriaca,6,4,"84,7",,
Scorzonera austriaca,7,1,"134,8",,
Scorzonera austriaca,7,2,"111,1",,
Scorzonera austriaca,7,3,"21,4",,
Scorzonera austriaca,7,4,,,
Scorzonera austriaca,8,1,"133,1",,
Scorzonera austriaca,8,2,"227,3",,
Scorzonera austriaca,8,3,"212,5",,
Scorzonera austriaca,8,4,"79,6",,
Scorzonera austriaca,9,1,"61,1",,
Scorzonera austriaca,9,2,"150,4",,
Scorzonera austriaca,9,3,"144,7",,
Scorzonera austriaca,9,4,"150,1",,
Scorzonera austriaca,10,1,"24,7",,
Scorzonera austriaca,10,2,"50,4",,
Scorzonera austriaca,10,3,"38,3",,
Scorzonera austriaca,10,4,"37,6",,
Arabis auriculata,1,1,"6,4","1,3",
Arabis auriculata,1,2,"7,3","1,6",
Arabis auriculata,1,3,"6,1","1,3",
Arabis auriculata,1,4,"5,5","1,5",
Arabis auriculata,2,1,"13,2","3,1",indecise
Arabis auriculata,2,2,"13,1","2,9",indecise
Arabis auriculata,2,3,"10,8","2,7",indecise
Arabis auriculata,2,4,,,
Arabis auriculata,3,1,"9,9","2,2",
Arabis auriculata,3,2,"8,9","1,9",
Arabis auriculata,3,3,"8,7","1,9",
Arabis auriculata,3,4,"9,4","2,1",
Arabis auriculata,4,1,"17,2","4,1",
Arabis auriculata,4,2,"17,2",4,
Arabis auriculata,4,3,"12,8","3,2",
Arabis auriculata,4,4,"17,9",4,
Arabis auriculata,5,1,"23,9","4,6",
Arabis auriculata,5,2,"20,6","3,9",
Arabis auriculata,5,3,"19,9","4,4",#broken
Arabis auriculata,5,4,"16,6","3,5",
Arabis auriculata,6,1,"17,8","3,9",
Arabis auriculata,6,2,"6,7","1,5",
Arabis auriculata,6,3,"8,2","1,5",
Arabis auriculata,6,4,"7,9","1,5",
Arabis auriculata,7,1,"25,1","5,9",
Arabis auriculata,7,2,"17,3","4,4",
Arabis auriculata,7,3,"9,3","2,6",
Arabis auriculata,7,4,"9,9","2,4",
Arabis auriculata,8,1,"8,5","1,7",
Arabis auriculata,8,2,"7,5","1,7",
Arabis auriculata,8,3,"4,8","1,3",
Arabis auriculata,8,4,"8,3","1,9",
Arabis auriculata,9,1,"12,4","2,9",
Arabis auriculata,9,2,"11,8","3,2",
Arabis auriculata,9,3,"7,8","1,9",
Arabis auriculata,9,4,,,
Arabis auriculata,10,1,"29,7","5,8",
Arabis auriculata,10,2,"20,7",4,
Arabis auriculata,10,3,"17,1","3,6",
Arabis auriculata,10,4,,,
